plot,year,fire,ret,treatm,SpecNumb
1,2000,B,10,B10,85
2,2000,B,10,B10,67
3,2000,B,0,B0,90
4,2000,U,10,U10,72
5,2000,B,50,B50,98
6,2000,U,50,U50,62
7,2000,U,0,U0,91
8,2000,B,10,B10,88
9,2000,U,50,U50,77
10,2000,U,0,U0,94
11,2000,B,50,B50,76
12,2000,B,50,B50,95
16,2000,U,10,U10,107
17,2000,B,0,B0,84
21,2000,U,0,U0,75
22,2000,B,0,B0,83
23,2000,U,50,U50,80
24,2000,U,10,U10,90
30,2000,B,C,BC,66
31,2000,B,C,BC,90
32,2000,B,C,BC,70
33,2000,U,C,UC,60
34,2000,U,C,UC,69
35,2000,U,C,UC,55
1,2002,B,10,B10,141
2,2002,B,10,B10,127
3,2002,B,0,B0,120
4,2002,U,10,U10,88
5,2002,B,50,B50,130
6,2002,U,50,U50,107
7,2002,U,0,U0,98
8,2002,B,10,B10,142
9,2002,U,50,U50,145
10,2002,U,0,U0,117
11,2002,B,50,B50,167
12,2002,B,50,B50,125
16,2002,U,10,U10,112
17,2002,B,0,B0,88
21,2002,U,0,U0,130
22,2002,B,0,B0,97
23,2002,U,50,U50,100
24,2002,U,10,U10,126
30,2002,B,C,BC,118
31,2002,B,C,BC,138
32,2002,B,C,BC,141
33,2002,U,C,UC,71
34,2002,U,C,UC,87
35,2002,U,C,UC,81
1,2011,B,10,B10,69
2,2011,B,10,B10,72
3,2011,B,0,B0,58
4,2011,U,10,U10,80
5,2011,B,50,B50,87
6,2011,U,50,U50,93
7,2011,U,0,U0,51
8,2011,B,10,B10,85
9,2011,U,50,U50,80
10,2011,U,0,U0,64
11,2011,B,50,B50,65
12,2011,B,50,B50,82
16,2011,U,10,U10,96
17,2011,B,0,B0,67
21,2011,U,0,U0,60
22,2011,B,0,B0,57
23,2011,U,50,U50,78
24,2011,U,10,U10,85
30,2011,B,C,BC,103
31,2011,B,C,BC,101
32,2011,B,C,BC,129
33,2011,U,C,UC,68
34,2011,U,C,UC,93
35,2011,U,C,UC,81
